1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,25,26,27,23,41,42,43,44,23,23,45,23,23,23,1,1,1,1,1,1,1,
1,1,1,30,29,28,31,53,52,24,24,40,39,46,2,2,2,1,1,1,1,1,1,1,
1,1,1,2,2,2,32,33,34,35,36,37,38,47,2,2,2,1,1,1,1,1,1,1,
1,1,1,2,2,2,51,50,50,50,50,50,49,48,2,2,2,1,1,1,1,1,1,1,
1,1,1,2,2,2,2,2,9,10,11,12,2,4,4,2,2,1,1,1,1,1,1,1,
1,1,1,2,2,2,2,2,16,15,14,13,2,5,6,2,3,1,1,1,1,1,1,1,
1,1,1,2,2,2,2,2,17,18,19,20,2,8,7,2,3,1,1,1,1,1,1,1,
1,1,1,2,2,2,2,2,2,21,22,2,2,2,2,2,2,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

